hour,CFU,dilution,heat,ul,strain
1,0,1,heat,90,wt
1,0,1,no.heat,90,wt
2,0,1,heat,90,wt
2,0,2,heat,90,wt
2,0,3,heat,90,wt
2,1,6,no.heat,90,wt
2,0,7,no.heat,90,wt
2,0,8,no.heat,90,wt
3,300,1,heat,90,wt
3,300,2,heat,90,wt
3,105,3,heat,90,wt
3,300,7,no.heat,90,wt
3,300,8,no.heat,90,wt
3,300,9,no.heat,90,wt
4,300,1,heat,90,wt
4,300,2,heat,90,wt
4,300,3,heat,90,wt
4,11,7,no.heat,90,wt
4,4,8,no.heat,90,wt
4,2,9,no.heat,90,wt
5,300,1,heat,90,wt
5,300,2,heat,90,wt
5,200,3,heat,90,wt
5,1,7,no.heat,90,wt
5,0,8,no.heat,90,wt
5,0,9,no.heat,90,wt
6,300,1,heat,90,wt
6,300,2,heat,90,wt
6,300,3,heat,90,wt
6,0,7,no.heat,90,wt
6,0,8,no.heat,90,wt
6,0,9,no.heat,90,wt
7,200,1,heat,90,wt
7,300,2,heat,90,wt
7,200,3,heat,90,wt
7,0,7,no.heat,90,wt
7,0,8,no.heat,90,wt
7,0,9,no.heat,90,wt
8,300,1,heat,90,wt
8,300,2,heat,90,wt
8,150,3,heat,90,wt
8,3,7,no.heat,90,wt
8,0,8,no.heat,90,wt
8,0,9,no.heat,90,wt
9,300,1,heat,90,wt
9,300,2,heat,90,wt
9,100,3,heat,90,wt
9,0,7,no.heat,90,wt
9,0,8,no.heat,90,wt
9,9,9,no.heat,90,wt
1,0,1,heat,90,mut
1,300,1,no.heat,90,mut
2,0,1,heat,90,mut
2,0,2,heat,90,mut
2,0,3,heat,90,mut
2,0,6,no.heat,90,mut
2,0,7,no.heat,90,mut
2,0,8,no.heat,90,mut
3,0,1,heat,90,mut
3,0,2,heat,90,mut
3,0,3,heat,90,mut
3,0,7,no.heat,90,mut
3,0,8,no.heat,90,mut
3,0,9,no.heat,90,mut
4,0,1,heat,90,mut
4,0,2,heat,90,mut
4,0,3,heat,90,mut
4,26,7,no.heat,90,mut
4,3,8,no.heat,90,mut
4,4,9,no.heat,90,mut
5,0,1,heat,90,mut
5,0,2,heat,90,mut
5,0,3,heat,90,mut
5,6,7,no.heat,90,mut
5,0,8,no.heat,90,mut
5,0,9,no.heat,90,mut
6,0,1,heat,90,mut
6,0,2,heat,90,mut
6,0,3,heat,90,mut
6,300,7,no.heat,90,mut
6,0,8,no.heat,90,mut
6,0,9,no.heat,90,mut
7,0,1,heat,90,mut
7,0,2,heat,90,mut
7,0,3,heat,90,mut
7,100,7,no.heat,90,mut
7,300,8,no.heat,90,mut
7,300,9,no.heat,90,mut
8,0,1,heat,90,mut
8,0,2,heat,90,mut
8,0,3,heat,90,mut
8,2,7,no.heat,90,mut
8,2,8,no.heat,90,mut
8,0,9,no.heat,90,mut
9,0,1,heat,90,mut
9,0,2,heat,90,mut
9,0,3,heat,90,mut
9,0,7,no.heat,90,mut
9,0,8,no.heat,90,mut
9,0,9,no.heat,90,mut
