Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,B_0.01,B_0.01,B_0.01
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_0.1,B_0.1,B_0.1
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_0.5,B_0.5,B_0.5
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_1,B_1,B_1
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_2,B_2,B_2
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_3.75,B_3.75,B_3.75
PBS,0.01,0.1,0.5,1,2,3.75,5,10,B_5,B_5,B_5
PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,B_10,B_10,B_10
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
