Sample (t = X),Strain,Heat-treated,replicate,drop.vol.ul,10^4_dilution,10^5_dilution
0,wt,no,1,10,89,29
0,wt,no,2,10,144,53
0,wt,no,3,10,112,19
0,wt,yes,1,10,0,0
0,wt,yes,2,10,0,0
0,wt,yes,3,10,0,0
0,mutant,no,1,10,5,0
0,mutant,no,2,10,5,0
0,mutant,no,3,10,10,0
0,mutant,yes,1,10,0,0
0,mutant,yes,2,10,0,0
0,mutant,yes,3,10,0,0
1,wt,no,1,10,134,48
1,wt,no,2,10,143,47
1,wt,no,3,10,140,39
1,wt,yes,1,10,0,0
1,wt,yes,2,10,0,0
1,wt,yes,3,10,0,0
1,mutant,no,1,10,17,1
1,mutant,no,2,10,11,3
1,mutant,no,3,10,18,3
1,mutant,yes,1,10,0,0
1,mutant,yes,2,10,0,0
1,mutant,yes,3,10,0,0
2,wt,no,1,10,63,13
2,wt,no,2,10,62,6
2,wt,no,3,10,65,17
2,wt,yes,1,10,0,0
2,wt,yes,2,10,0,0
2,wt,yes,3,10,0,0
2,mutant,no,1,10,23,1
2,mutant,no,2,10,17,1
2,mutant,no,3,10,21,0
2,mutant,yes,1,10,0,0
2,mutant,yes,2,10,0,0
2,mutant,yes,3,10,0,0
3,wt,no,1,10,77,10
3,wt,no,2,10,59,11
3,wt,no,3,10,74,16
3,wt,yes,1,10,0,0
3,wt,yes,2,10,0,0
3,wt,yes,3,10,0,0
3,mutant,no,1,10,40,3
3,mutant,no,2,10,33,1
3,mutant,no,3,10,25,5
3,mutant,yes,1,10,0,0
3,mutant,yes,2,10,0,0
3,mutant,yes,3,10,0,0
4,wt,no,1,10,134,24
4,wt,no,2,10,145,30
4,wt,no,3,10,88,32
4,wt,yes,1,10,0,0
4,wt,yes,2,10,0,0
4,wt,yes,3,10,0,0
4,mutant,no,1,10,68,16
4,mutant,no,2,10,73,10
4,mutant,no,3,10,96,11
4,mutant,yes,1,10,0,0
4,mutant,yes,2,10,0,0
4,mutant,yes,3,10,0,0
5,wt,no,1,10,,2
5,wt,no,2,10,,8
5,wt,no,3,10,,5
5,wt,yes,1,10,,0
5,wt,yes,2,10,,0
5,wt,yes,3,10,,0
5,mutant,no,1,10,,29
5,mutant,no,2,10,,34
5,mutant,no,3,10,,23
5,mutant,yes,1,10,,0
5,mutant,yes,2,10,,0
5,mutant,yes,3,10,,0
6,wt,no,1,10,,2
6,wt,no,2,10,,1
6,wt,no,3,10,,2
6,wt,yes,1,10,,0
6,wt,yes,2,10,,0
6,wt,yes,3,10,,0
6,mutant,no,1,10,,4
6,mutant,no,2,10,,4
6,mutant,no,3,10,,2
6,mutant,yes,1,10,,0
6,mutant,yes,2,10,,0
6,mutant,yes,3,10,,0
7,wt,no,1,10,,1
7,wt,no,2,10,,3
7,wt,no,3,10,,0
7,wt,yes,1,10,,0
7,wt,yes,2,10,,0
7,wt,yes,3,10,,0
7,mutant,no,1,10,,1
7,mutant,no,2,10,,5
7,mutant,no,3,10,,4
7,mutant,yes,1,10,,0
7,mutant,yes,2,10,,0
7,mutant,yes,3,10,,0
8,wt,no,1,10,,
8,wt,no,2,10,,
8,wt,no,3,10,,
8,wt,yes,1,10,,
8,wt,yes,2,10,,
8,wt,yes,3,10,,
8,mutant,no,1,10,,
8,mutant,no,2,10,,
8,mutant,no,3,10,,
8,mutant,yes,1,10,,
8,mutant,yes,2,10,,
8,mutant,yes,3,10,,
